YEAR,Geopolitical entity (reporting),Index,OBS_VALUE
2016,Austria,Agricultural commodity price index,49.54588014981273
2016,Austria,Harmonised index of consumer prices,50.866933333333336
2016,Austria,Import price index,51.624839743589746
2016,Austria,Producer price index,49.27916666666667
2016,Belgium,Agricultural commodity price index,54.13088888888889
2016,Belgium,Harmonised index of consumer prices,52.97709935897436
2016,Belgium,Import price index,51.140064102564104
2016,Belgium,Producer price index,48.62916666666666
2016,Bulgaria,Agricultural commodity price index,46.20436507936508
2016,Bulgaria,Harmonised index of consumer prices,50.60102564102564
2016,Bulgaria,Import price index,54.081701444622794
2016,Bulgaria,Producer price index,51.25366666666667
2016,Croatia,Agricultural commodity price index,48.27464539007092
2016,Croatia,Harmonised index of consumer prices,69.61486607142857
2016,Croatia,Import price index,50.76939102564102
2016,Croatia,Producer price index,52.32424242424243
2016,Cyprus,Agricultural commodity price index,50.79198312236287
2016,Cyprus,Harmonised index of consumer prices,69.35709821428571
2016,Cyprus,Import price index,48.98454106280194
2016,Czechia,Agricultural commodity price index,45.455303030303035
2016,Czechia,Harmonised index of consumer prices,49.21566666666667
2016,Czechia,Import price index,50.1676282051282
2016,Czechia,Producer price index,48.385416666666664
2016,Denmark,Agricultural commodity price index,47.15637860082305
2016,Denmark,Harmonised index of consumer prices,50.277403846153845
2016,Denmark,Import price index,51.830128205128204
2016,Denmark,Producer price index,50.737500000000004
2016,Estonia,Harmonised index of consumer prices,70.71496551724138
2016,Estonia,Import price index,50.955769230769235
2016,Euro area - 19 countries  (2015-2022),Harmonised index of consumer prices,54.144609375
2016,Euro area - 19 countries  (2015-2022),Producer price index,0.23141025641025642
2016,European Union - 27 countries (from 2020),Agricultural commodity price index,49.03958333333333
2016,European Union - 27 countries (from 2020),Harmonised index of consumer prices,53.941875
2016,European Union - 27 countries (from 2020),Producer price index,52.345370370370375
2016,Finland,Agricultural commodity price index,47.91609848484848
2016,Finland,Harmonised index of consumer prices,52.171889763779525
2016,Finland,Import price index,49.97621359223301
2016,Finland,Producer price index,51.144999999999996
2016,France,Agricultural commodity price index,51.14981884057971
2016,France,Harmonised index of consumer prices,51.39153344208809
2016,France,Import price index,51.766666666666666
2016,France,Producer price index,51.64320987654322
2016,Germany,Agricultural commodity price index,51.39748062015504
2016,Germany,Harmonised index of consumer prices,51.5525641025641
2016,Germany,Import price index,51.01923076923077
2016,Germany,Producer price index,52.708333333333336
2016,Greece,Agricultural commodity price index,47.10757575757576
2016,Greece,Harmonised index of consumer prices,50.88740384615385
2016,Greece,Import price index,49.605288461538464
2016,Greece,Producer price index,49.16
2016,Hungary,Agricultural commodity price index,48.89846743295019
2016,Hungary,Harmonised index of consumer prices,51.50655
2016,Hungary,Import price index,52.916666666666664
2016,Hungary,Producer price index,51.046875
2016,Iceland,Harmonised index of consumer prices,70.13247113163972
