year,kilograms,country
2012,13.896867,Austria
2013,14.156953,Austria
2014,14.047223,Austria
2015,13.397579,Austria
2016,13.937792,Austria
2017,15.197868,Austria
2018,15.608061,Austria
2019,14.8085165,Austria
2020,14.218321,Austria
2021,14.178606,Austria
2022,14.763545,Austria
2012,11.818215,Belgium
2013,12.525735,Belgium
2014,8.075903,Belgium
2015,8.170402,Belgium
2016,7.419633,Belgium
2017,8.776128,Belgium
2018,8.264463,Belgium
2019,9.977336,Belgium
2020,13.876001,Belgium
2021,15.193158,Belgium
2022,19.333504,Belgium
2012,7.8291655,Bulgaria
2013,8.336922,Bulgaria
2014,7.787106,Bulgaria
2015,8.2996435,Bulgaria
2016,8.397436,Bulgaria
2017,8.506541,Bulgaria
2018,8.247468,Bulgaria
2019,8.654627,Bulgaria
2020,4.992602,Bulgaria
2021,3.6145651,Bulgaria
2022,5.1367745,Bulgaria
2012,8.186874,Croatia
2013,8.572293,Croatia
2014,8.36602,Croatia
2015,8.522473,Croatia
2016,9.812966,Croatia
2017,9.66113,Croatia
2018,7.597738,Croatia
2019,8.091064,Croatia
2020,8.641573,Croatia
2021,8.959177,Croatia
2022,8.654934,Croatia
2012,8.485444,Cyprus
2013,8.802693,Cyprus
2014,9.509839,Cyprus
2015,8.694421,Cyprus
2016,8.724602,Cyprus
2017,8.970822,Cyprus
2018,8.670987,Cyprus
2019,8.729571,Cyprus
2020,7.555236,Cyprus
2021,7.3672743,Cyprus
2022,7.012655,Cyprus
2012,11.804249,Czechia
2013,11.873877,Czechia
2014,8.680003,Czechia
2015,8.8095255,Czechia
2016,9.066292,Czechia
2017,8.921536,Czechia
2018,8.967836,Czechia
2019,9.473862,Czechia
2020,10.301284,Czechia
2021,9.591867,Czechia
2022,8.082005,Czechia
2012,15.274798,Denmark
2013,15.397659,Denmark
2014,16.059633,Denmark
2015,16.143393,Denmark
2016,15.8907175,Denmark
2017,15.70383,Denmark
2018,15.765988,Denmark
2019,14.941827,Denmark
2020,15.664289,Denmark
2021,15.073605,Denmark
2022,14.728455,Denmark
