country,type,year,amount
Austria,Import,2013,13815
Austria,Export,2013,2236
Austria,Import,2014,18556.34
Austria,Export,2014,2571.23
Austria,Import,2015,20115.68
Austria,Export,2015,2471.76
Austria,Import,2016,19739.65
Austria,Export,2016,4027.12
Austria,Import,2017,23179.43
Austria,Export,2017,3946.4
Austria,Import,2018,26958.44
Austria,Export,2018,3554.13
Austria,Import,2019,30924.41
Austria,Export,2019,4141.84
Austria,Import,2020,25945.38
Austria,Export,2020,5466.1
Austria,Import,2021,15128.41
Austria,Export,2021,3657.38
Austria,Import,2022,18365.87
Austria,Export,2022,3060.24
Austria,Import,2023,16114.64
Austria,Export,2023,3064.62
Belgium,Import,2013,52743
Belgium,Export,2013,67729
Belgium,Import,2014,54172.93
Belgium,Export,2014,58461.24
Belgium,Import,2015,56847.77
Belgium,Export,2015,60092.74
Belgium,Import,2016,70067.13
Belgium,Export,2016,61466.26
Belgium,Import,2017,77464.38
Belgium,Export,2017,78835.43
Belgium,Import,2018,59488.96
Belgium,Export,2018,134805.32
Belgium,Import,2019,90510.89
Belgium,Export,2019,86659.5
Belgium,Import,2020,132848.36
Belgium,Export,2020,93553.26
Belgium,Import,2021,124081.75
Belgium,Export,2021,93370.9
Belgium,Import,2022,185841.83
Belgium,Export,2022,99054.31
Belgium,Import,2023,353728.15
Belgium,Export,2023,110143.77
Bulgaria,Import,2013,5061
Bulgaria,Export,2013,9275
Bulgaria,Import,2014,4101.3
Bulgaria,Export,2014,12401.5
Bulgaria,Import,2015,6004.7
Bulgaria,Export,2015,14147.6
Bulgaria,Import,2016,6143.67
Bulgaria,Export,2016,14613.07
Bulgaria,Import,2017,6346.99
Bulgaria,Export,2017,14752.97
Bulgaria,Import,2018,6349.46
Bulgaria,Export,2018,15345.79
Bulgaria,Import,2019,4919.9
Bulgaria,Export,2019,18330.71
Bulgaria,Import,2020,2996.78
Bulgaria,Export,2020,22585.57
Bulgaria,Import,2021,3628.27
Bulgaria,Export,2021,27117.34
Bulgaria,Import,2022,3708.63
Bulgaria,Export,2022,23243.83
Bulgaria,Import,2023,6882.1
Bulgaria,Export,2023,26912.25
Croatia,Import,2013,2162
Croatia,Export,2013,582
Croatia,Import,2014,4841.33
Croatia,Export,2014,655.2
Croatia,Import,2015,7641.15
Croatia,Export,2015,1327.21
Croatia,Import,2016,8305.01
Croatia,Export,2016,1654.54
Croatia,Import,2017,7079.79
Croatia,Export,2017,1199.38
Croatia,Import,2018,6997.5
Croatia,Export,2018,1981.87
Croatia,Import,2019,6225.85
Croatia,Export,2019,2542.77
Croatia,Import,2020,6453.6
Croatia,Export,2020,3491.42
Croatia,Import,2021,6654.32
Croatia,Export,2021,2568.2
Croatia,Import,2022,7595.89
Croatia,Export,2022,2041.59
Croatia,Import,2023,7916.49
Croatia,Export,2023,1816.89
Cyprus,Import,2013,251
Cyprus,Export,2013,7
Cyprus,Import,2014,396.1
Cyprus,Export,2014,3.4
Cyprus,Import,2015,399.9
Cyprus,Import,2016,391.77
Cyprus,Export,2016,3.5
