areaCode,country,year,value
ALB,Albania,2000,4087
ALB,Albania,2001,4285
ALB,Albania,2002,4446
ALB,Albania,2003,4756
ALB,Albania,2004,4517
ALB,Albania,2005,4671
ALB,Albania,2006,4572
ALB,Albania,2007,4712
ALB,Albania,2008,5000
ALB,Albania,2009,5138
ALB,Albania,2010,5245
ALB,Albania,2011,6558
ALB,Albania,2012,9494
ALB,Albania,2013,8928
ALB,Albania,2014,9493
ALB,Albania,2015,8555
ALB,Albania,2016,7634
ALB,Albania,2017,7835
ALB,Albania,2018,7272
ALB,Albania,2019,7090
ALB,Albania,2020,6774
ALB,Albania,2021,5249
ALB,Albania,2022,4999
ALB,Albania,2023,4877
AUT,Austria,2000,13798
AUT,Austria,2001,11077
AUT,Austria,2002,11905
AUT,Austria,2003,12431
AUT,Austria,2004,12354
AUT,Austria,2005,12700
AUT,Austria,2006,15000
AUT,Austria,2007,13570
AUT,Austria,2008,13770
AUT,Austria,2009,14400
AUT,Austria,2010,15650
AUT,Austria,2011,16000
AUT,Austria,2012,15500
AUT,Austria,2013,16300
AUT,Austria,2014,16500
AUT,Austria,2015,16465
AUT,Austria,2016,16745
AUT,Austria,2017,16736
AUT,Austria,2020,16857
BLR,Belarus,2000,26400
BLR,Belarus,2001,26400
BLR,Belarus,2002,25300
BLR,Belarus,2003,24300
BLR,Belarus,2004,23000
BLR,Belarus,2005,23500
BLR,Belarus,2006,30000
BLR,Belarus,2007,35000
BLR,Belarus,2008,40000
BLR,Belarus,2009,45000
BLR,Belarus,2010,54000
BLR,Belarus,2011,64691
BLR,Belarus,2012,75000
BLR,Belarus,2013,80000
BLR,Belarus,2014,85800
BLR,Belarus,2015,90687
BLR,Belarus,2016,95441
BLR,Belarus,2017,100000
BLR,Belarus,2018,101376
BLR,Belarus,2019,102484
BLR,Belarus,2020,103729
BLR,Belarus,2021,105000
BLR,Belarus,2022,106411
BLR,Belarus,2023,119658
BEL,Belgium,2000,39729
BEL,Belgium,2001,38529
BEL,Belgium,2002,37928
BEL,Belgium,2003,32032
BEL,Belgium,2004,36506
BEL,Belgium,2005,35569
